employee_id,hours_worked,projects_completed,attendance_score,peer_feedback,manager_feedback,performance
1,52,5,86,2,1,Low
2,46,6,77,2,3,Low
3,50,1,91,1,1,Medium
4,46,2,96,1,1,High
5,50,5,76,3,2,High
6,26,9,91,2,3,Medium
7,52,6,85,2,1,Medium
8,38,8,69,4,3,Medium
9,38,3,72,4,4,Low
10,38,3,67,2,2,High
11,47,6,97,2,1,Medium
12,52,6,72,1,2,Low
13,57,3,62,2,1,Medium
14,57,2,93,3,2,Low
15,50,6,76,1,4,Low
16,58,2,67,2,4,High
17,29,2,64,3,4,Medium
18,33,3,63,4,4,High
19,30,1,60,3,3,High
20,56,7,63,1,4,High
21,49,6,80,4,1,High
22,31,6,81,2,3,Low
23,54,3,67,4,1,Low
24,47,7,77,3,1,Medium
25,26,5,92,1,2,Low
26,41,8,71,3,2,Low
27,28,7,99,3,2,High
28,52,5,60,2,3,Medium
29,46,8,86,4,2,High
30,37,4,89,2,1,High
31,40,8,97,3,1,Medium
32,50,4,64,3,4,Low
33,31,1,77,3,1,Low
34,23,4,95,4,1,High
35,21,9,96,1,3,Medium
36,40,7,69,4,2,High
37,55,6,95,4,4,High
38,57,3,64,4,2,Low
39,28,6,85,3,4,High
40,59,3,72,1,2,Low
41,55,3,74,4,3,High
42,26,8,69,4,4,High
43,53,1,83,2,1,Medium
44,29,1,92,1,3,Medium
45,25,1,67,4,1,Low
46,57,1,92,4,3,Medium
47,33,7,86,3,1,Low
48,50,8,67,4,3,High
49,33,2,81,2,4,Medium
50,24,5,70,2,3,Medium
51,51,9,97,4,4,Low
52,55,6,87,3,3,High
53,26,1,85,2,1,Medium
54,20,3,79,1,1,Low
55,26,2,63,1,1,Medium
56,22,8,89,4,1,Low
57,59,9,71,3,4,Low
58,51,7,98,1,2,Low
59,29,7,64,1,1,Medium
60,46,3,62,3,3,High
61,51,4,72,1,3,Low
62,39,7,91,2,4,Low
63,27,7,99,2,2,Low
64,38,9,72,4,2,Low
65,21,3,99,1,3,High
66,59,1,76,3,3,High
67,50,6,62,3,1,Medium
68,46,8,83,3,1,High
69,45,7,98,2,3,Low
70,26,8,94,1,3,Medium
71,22,8,70,4,2,Medium
72,40,5,62,4,1,Low
73,36,9,71,3,2,Low
74,42,2,76,4,4,Low
75,24,5,78,2,4,High
76,31,9,66,3,1,High
77,38,7,72,3,2,Low
78,39,7,67,3,3,High
79,40,6,95,3,1,Medium
80,41,4,92,1,4,High
81,51,6,63,4,4,High
82,31,4,72,4,3,Medium
83,46,7,92,4,1,Low
84,31,4,84,1,4,High
85,29,3,86,3,3,Medium
86,52,1,91,3,1,Medium
87,59,5,80,2,1,Low
88,29,7,94,4,4,Low
89,37,4,82,3,4,High
90,31,3,62,4,4,Medium
91,57,8,96,3,3,Medium
92,22,6,64,3,3,Low
93,45,4,88,1,4,Medium
94,20,6,85,2,4,High
95,36,6,85,4,2,Medium
96,31,4,60,2,1,High
97,36,3,68,3,2,High
98,34,8,75,2,1,Medium
99,33,7,99,4,3,Medium
100,37,3,75,1,1,Low
